Ordre de travail;Staut Ordre de travail;Service;Description;Equipment;Nom Equipement;date enregistrement;Noeud Parent;Nom_parent;Classification Equipement;Date début;Date Fin;Modèle OT;Type OT 
OT233570;clôturé;élec*;changement boite étanche ;PFC102;ERCA 2 (EF320L série 34407);19/02/2019 09:04;PFC1;conditionnement 1;Mec;19/02/2019;19/02/2019;;correctif planifié
OT233603;clôturé;méc;changement tambour moteur tapis de sortie ;PFC102;ERCA 2 (EF320L série 34407);19/02/2019 11:09;PFC1;conditionnement 1;Mec;19/02/2019;19/02/2019;;correctif planifié
OT233604;clôturé;méc;"changement garniture pompe envoie ligne 5 ""N105XME01"" suite fuite";PFP10809;Pompe centrifuge (Booster);20/02/2019 10:00;PFP108;NEP1;;20/02/2019;20/02/2019;;correctif non planifié
OT233605;clôturé;prod;rouleau orange;PFC109;Sleever B (10000853-417);20/02/2019 08:53;PFC1;conditionnement 1;Mec;20/02/2019;20/02/2019;;correctif planifié
OT233638;clôturé;MECANIQUE;Remplissage bagues huile Tellus32 et OMALA150;ULPRPH0607;DIVERS EQUIPEMENT;19/02/2019 08:31;ULPRPH06;DIVERS UHT;Mec;19/02/2019;19/02/2019;;correctif planifié
OT233660;clôturé;méc;reparation fuite d'eau au niveau flexible refroidissement contre moule;PFC103;ERCA 3 (EF320L série 37212);20/02/2019 07:22;PFC1;conditionnement 1;Mec;20/02/2019;20/02/2019;;correctif non planifié
OT233661;clôturé;méc;reparation probleme suite defaut applicateur capsule et coincement capsule au niveau guide;PFC104;Serac A (DmxR12T12/540 série M06-OF64);20/02/2019 06:30;PFC1;conditionnement 1;Mec;20/02/2019;20/02/2019;;correctif non planifié
OT233673;clôturé;élec;reparation defaut électrovanne  suite probleme formage;PFC205;ERCA Pate Fraiche (MF7 série 29413);19/02/2019 19:28;PFC2;Conditionnement 2;;19/02/2019;19/02/2019;;correctif non planifié
OT233685;clôturé;MECANIQUE;réparation coincement roue chariot N°05;ULPRPH0603;CHARIOT PORTE BOBINE MANUEL;19/02/2019 08:32;ULPRPH06;DIVERS UHT;Mec;19/02/2019;19/02/2019;;correctif planifié
OT233687;en cours INV;BTM;"Mise en place deux nouveaux transpalettes au niveau atelier UHT ""TC18"" et TC19"" le 19/02/2019";ULPRDV01;TRANSPALETTE;;ULPRDV;DIVERS PRODUCTION;Mec;19/02/2019;19/02/2019;;correctif planifié
OT233688;en cours INV;ENERGETIQUE;réparation fuite vapeur;ULPRSR01;STERELISATEUR REDA;;ULPRSR;LIGNE REDA;Mec;20/02/2019;20/02/2019;;correctif planifié
OT233689;en cours INV;MECANIQUE;Problème monte support capsuleuse===>changement tige vérin levier + réglage position capteur;ULPRPS0204;REMPLISSEUSE-CAPSULEUSE;;ULPRPS02;BOUTEILLE;;18/02/2019;19/02/2019;;correctif non planifié
OT233691;en cours INV;MECANIQUE;Déchirure plastique TRT===>changement couteau barre de soudure;ULPRPS0207;FARDELEUSE;;ULPRPS02;BOUTEILLE;;19/02/2019;19/02/2019;;correctif non planifié
OT233692;en cours INV;MECANIQUE;graisse pour machine;ULPRPS0205;HYDRAUMATE;;ULPRPS02;BOUTEILLE;;18/02/2019;18/02/2019;;correctif planifié
OT233703;en cours INV;MECANIQUE;remplissage huile;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;19/02/2019;19/02/2019;;correctif planifié
OT233704;en cours INV;MECANIQUE;divers interventions;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;18/02/2019;18/02/2019;;correctif planifié
OT233710;clôturé;élec*;changement capteur lame vibrante suite defaut;PFC103;ERCA 3 (EF320L série 37212);20/02/2019 09:05;PFC1;conditionnement 1;Mec;20/02/2019;20/02/2019;;correctif planifié
OT233711;clôturé;méc*;changement chaine suite dfeaut;PFC106;Sleever A (03/07-0281);20/02/2019 09:12;PFC1;conditionnement 1;Mec;20/02/2019;20/02/2019;;correctif planifié
OT233712;clôturé;méc*;changement maille suite defaut chaine;PFS101;Mimasa 1 (L-300 série 446);21/02/2019 09:12;PFS1;Suremballage;Mec;21/02/2019;21/02/2019;;correctif planifié
OT233713;clôturé;méc*;changement siphon au niveau quai chargement frigo;PFD001;Divers mécanique UPF;21/02/2019 09:13;PFD0;Divers;;21/02/2019;21/02/2019;;correctif planifié
OT233714;clôturé;élec;fixation et srrage capteur descente verin suite defaut tête scellage n°3;PFC104;Serac A (DmxR12T12/540 série M06-OF64);20/02/2019 14:54;PFC1;conditionnement 1;Mec;20/02/2019;20/02/2019;;correctif planifié
OT233715;clôturé;élec;nettoyage tête suite dfeaut impression;PFC107;Serac B (DmxR12T12/540 série M12-OM24);20/02/2019 15:32;PFC1;conditionnement 1;Mec;20/02/2019;20/02/2019;;correctif planifié
OT233725;clôturé;Eté;Afficheur étuve pate noisette dans le sas salle poudrage 3 est cassé;;;;;;;;;;
OT233726;clôturé;Eté;Boite électrique entre CD2 et CD5 est démonté;;;;;;;;;;
OT233727;clôturé;Eté;Couvercle chemin de cables au niveau toit usine côté skydhomme est enlevé ;;;;;;;;;;
OT233728;clôturé;Eté;défaut réarmement sécurité sur tous les porte ouvert;;;;;;;;;;
OT233729;clôturé;Eté;prise courant du four électrique du refectoire mal fixé;;;;;;;;;;
OT233730;clôturé;prod;changement membrane suite defaut;PFC200;Divers conditionnement 2;26/02/2019 11:12;PFC2;Conditionnement 2;;26/02/2019;26/02/2019;;correctif planifié
OT233731;clôturé;Etm;Rendement insuffisant de 2 climatiseurs dans le laboratoire 2 ;;;;;;;;;;
OT233732;en cours INV;Etm;Fuite soude au niveau de vanne injection soude vers soude 1;;;;;;;;;;
OT233733;clôturé;Etm;Fuite au niveau de joint évant CD7;;;;;;;;;;
OT233734;clôturé;Etm;Fuite d'eau au niveau lavabo laboratoire 2;;;;;;;;;;
OT233735;clôturé;Visite 2 technicien SERAC 1;Rapport n°33751*****Maintenance presse Roulement + joint ***Essais bande alu conforme (ok) et non conforme (non ok avec les mêmes réglages que la bande conforme);PFC104;Serac A (DmxR12T12/540 série M06-OF64);15/01/2019 10:33;PFC1;conditionnement 1;Mec;15/01/2019;18/01/2019;;correctif planifié
OT233740;clôturé;Visite technicien ERCA (audit);;PFC102;ERCA 2 (EF320L série 34407);10/01/2019 10:35;PFC1;conditionnement 1;Mec;10/01/2019;10/01/2019;;correctif planifié
OT233784;clôturé;méc*;reparation fuite acide au niveau échangeur;PFP20506;Echangeur Tubulaire;21/02/2019 09:14;PFP205;NEP2;;21/02/2019;21/02/2019;;correctif planifié
OT233785;en cours INV;ELECTRIQUE;Changement capteur de pression ;ULPRPT0501;PASTO LAIT 18000L/H SPX;;ULPRPT05;PASTO LAIT N1;;19/02/2019;19/02/2019;;correctif non planifié
OT233786;clôturé;méc;"révision vanne suite fuite au niveau vanne soutirage SPF1 vers ERCA PF ""S351XVB01""";PFP2041102;Vanne DA3;22/02/2019 00:20;PFP20411;Manifold Pate fraiche;;22/02/2019;22/02/2019;;correctif non planifié
OT233787;en cours INV;ELECTRIQUE-MECANIQUE;CHANGEMENT SONDE DE SELLAGE;ULPRPF0301;NOVA;;ULPRPF03;NOVA;Mec;19/02/2019;19/02/2019;;correctif non planifié
OT233787;en cours INV;ELECTRIQUE-MECANIQUE;CHANGEMENT SONDE DE SELLAGE;ULPRPF0301;NOVA;;ULPRPF03;NOVA;Mec;19/02/2019;19/02/2019;;correctif non planifié
OT233789;clôturé;méc;"reparation fuite vanne ""M159XVB31"" remplissage TM9 par PASTO MIX ";PFM10101;Vanne DA3;21/02/2019 13:00;PFM101;Manifold;;21/02/2019;21/02/2019;;correctif non planifié
OT233790;clôturé;Etm;Pression insuffésant d'huile du graissage centralisée;;;;;;;;;;
OT233791;clôturé;Eté;Présence d'une électrovane au niveau station fruit ERCA1 non fixé;;;;;;;;;;
OT233793;clôturé;Eté;Chargeur gerbeur non fonctionnel;;;;;;;;;;
OT233841;clôturé;élec;changement sondesuite defaut temperature chauffage plastique entrée machine (gauche);PFC201;ERCA dessert 1 (MF14 série 29313);21/02/2019 18:18;PFC2;Conditionnement 2;;21/02/2019;21/02/2019;;correctif non planifié
OT235198;clôturé;méc;changement roue libre partie decor inferieur suite probleme deroulement decor;PFC101;ERCA 1 (EF320L série 39306);21/02/2019 21:18;PFC1;conditionnement 1;Mec;21/02/2019;21/02/2019;;correctif planifié
OT235551;en cours INV;MECANIQUE;CHANGEMENT DE JOINT;ULPRPS0101;EXTRUDEUSE;;ULPRPS01;FABRICATION BOUTEILLE;;16/02/2019;16/02/2019;;correctif non planifié
OT235563;clôturé;méc;"révision vanne ""P1W1XV01"" by-passe écremeuse pasto lait 1 suite fuite produit";PFP10102;Vanne;21/02/2019 15:20;PFP101;Pasto 1 (Pasto lait 1);;21/02/2019;21/02/2019;;correctif non planifié
OT235576;en cours INV;ENERGETIQUE;CHANGEMENT GARNITURE POMPE;ULUTEU0204;PONT DECOMPTEUR B;;ULUTEU02;STATION EAUX USEES B;;20/02/2019;20/02/2019;;correctif non planifié
OT235578;en cours INV;MECANIQUE;CHANGEMENT GARNITURE  MECANIQUE POMPE EAU CHAUDE;ULPRPT0501;PASTO LAIT 18000L/H SPX;;ULPRPT05;PASTO LAIT N1;;19/02/2019;19/02/2019;;correctif non planifié
OT235579;en cours INV;MECANIQUE;CHANGEMENT GARNITURE MECANIQUE PMOMPE EN VOIS LIGNE C;ULPRPT0402;COULOIRE N°2 LAIT PASTORISE;;ULPRPT04;STOCKAGE LAIT PASTORISE;;19/02/2019;19/02/2019;;correctif non planifié
OT235580;en cours INV;ENERGETIQUE;CHANGEMENT FILTRE A CARTOUCHE;ULUTTE010502;osmoseurs d'eaux n2;;ULUTTE0105;OSMOSEURS EAUX;Mec;19/02/2019;19/02/2019;;correctif planifié
OT235581;clôturé;élec*;changement codeur suite defaut;PFC106;Sleever A (03/07-0281);21/02/2019 09:06;PFC1;conditionnement 1;Mec;21/02/2019;21/02/2019;;correctif planifié
OT235582;en cours INV;ENERGETIQUE;CHANGEMENT JOINT;ULUTTE010701;filtres eau de process usine lait;;ULUTTE0107;CIRCUIT EAU DE PROCESS;Mec;20/02/2019;20/02/2019;;correctif planifié
OT235583;en cours INV;ELECTRIQUE;CHANGEMENT RELAIS THERMIQUE;ULUTAC0204;COMPRESSEUR D'AIR N°4;;ULUTAC02;COMPRESSEURS D'AIR;ENERG;20/02/2019;20/02/2019;;correctif planifié
OT235584;clôturé;trait;flexible 4 M au niveau reception lait;PFP100;Divers Process 1;20/02/2019 09:00;PFP1;Traitement 1 (Process 1);;20/02/2019;20/02/2019;;correctif planifié
OT235588;clôturé;méc;reparation fuite au niveau voyant produit station fruit;PFC205;ERCA Pate Fraiche (MF7 série 29413);21/02/2019 23:15;PFC2;Conditionnement 2;;21/02/2019;22/02/2019;;correctif non planifié
OT235589;clôturé;méc*;à pointe tellus 100;PFC206;Galdi RG250;21/02/2019 09:16;PFC2;Conditionnement 2;;21/02/2019;21/02/2019;;correctif planifié
OT235931;clôturé;méc*;changement buse de colle;PFS103;ET-Packt;23/02/2019 09:18;PFS1;Suremballage;Mec;15/02/2019;23/02/2019;;correctif planifié
OT235932;clôturé;élec*;mise en marche du ventilo;PFM115;Ventilo convecteur (par eau glacée);22/02/2019 09:08;PFM1;Maturation;Mec;22/02/2019;22/02/2019;;correctif planifié
OT235933;clôturé;prod;changement rouleau d'encre;PFC103;ERCA 3 (EF320L série 37212);21/02/2019 08:54;PFC1;conditionnement 1;Mec;21/02/2019;21/02/2019;;correctif planifié
OT235935;clôturé;méc;changement bague de guidage vis reglage bobine opercule suite direction bobine;PFC103;ERCA 3 (EF320L série 37212);22/02/2019 10:30;PFC1;conditionnement 1;Mec;22/02/2019;22/02/2019;;correctif non planifié
OT235936;clôturé;élec;changement regulateur de temperature suite defaut temperature bac eau refroidissement machine;PFC201;ERCA dessert 1 (MF14 série 29313);22/02/2019 15:55;PFC2;Conditionnement 2;;22/02/2019;22/02/2019;;correctif non planifié
OT235937;clôturé;méc;changement pompe à lobe suite coincement;PFP20403;Pompe à Lobe (FRISTAM);22/02/2019 12:00;PFP204;Pasto 5 (Pate fraîche);;22/02/2019;23/02/2019;;correctif non planifié
OT235938;clôturé;méc*;changement kit joint vanne pour le mettre en stock;PFP2030302;Vanne Sudmo (model 2016);22/02/2019 09:20;PFP20303;Manifold Dessert;;22/02/2019;22/02/2019;;correctif planifié
OT235939;clôturé;méc*;changement membrane doseur;PFC206;Galdi RG250;22/02/2019 09:23;PFC2;Conditionnement 2;;22/02/2019;22/02/2019;;correctif planifié
OT235945;clôturé;méc*;reparation fuite au niveau échangeur eau chaude;PFP10807;Echangeur Tubulaire;23/02/2019 12:20;PFP108;NEP1;;23/02/2019;23/02/2019;;correctif planifié
OT235946;clôturé;méc*;changement stator pompe PCM suite defaut;PFM10202;Pompe PCM ERCA2 (25H6);22/02/2019 09:27;PFM102;Pompes PCM;Mec;22/02/2019;22/02/2019;;correctif non planifié
OT235949;clôturé;Etm;Courroie convoyeur entrée machine + courroie latérale sont endommagé;;;;;;;;;;
OT235950;clôturé;Eté;Changer le silicone de fixation molure coté passage tapie de sortie ERCA2;;;;;;;;;;
OT235951;clôturé;Eté;Lampe issue de secour sas 2 chambre chaude 2 est cassé;;;;;;;;;;
OT235952;clôturé;Eté;Bouton d'arrét d'urgence posimat 1 non fixé;;;;;;;;;;
OT235953;clôturé;élec*;changement connecteur suite defaut;PFC206;Galdi RG250;23/02/2019 12:21;PFC2;Conditionnement 2;;23/02/2019;23/02/2019;;correctif planifié
OT235959;clôturé;méc;reparation fuite au niveau boite flash couvercle;PFC205;ERCA Pate Fraiche (MF7 série 29413);22/02/2019 15:45;PFC2;Conditionnement 2;;22/02/2019;22/02/2019;;correctif non planifié
OT235960;clôturé;méc;reparation probleme coinsement convoyeur produit ;PFS103;ET-Packt;22/02/2019 07:00;PFS1;Suremballage;Mec;22/02/2019;22/02/2019;;correctif planifié
OT235961;clôturé;ECP fourniture génie civil;fourniture de génie civil mois de fevrier;four GC;Fourniture GC;01/02/2019 11:43;GC;Genie civil;GC;25/02/2019;25/02/2019;;correctif planifié
OT235962;clôturé;élec;changement capteur suite defaut fermeture porte chambre chaude 1;PFS106;Porte Rideau (Porte monte Rapide);06/03/2019 08:45;PFS1;Suremballage;;24/02/2019;24/02/2019;;correctif non planifié
OT235963;clôturé;élec;"reparation fuite d'air comprimé au niveau vanne ""N2E1XVB04""";PFP20507;Vanne;06/03/2019 08:47;PFP205;NEP2;;23/02/2019;23/02/2019;;correctif planifié
OT235964;clôturé;élec;reparation fuite air comprimé au niveau vanne N2E1XVB04;PFP20507;Vanne;06/03/2019 08:48;PFP205;NEP2;;24/02/2019;24/02/2019;;correctif planifié
OT235965;en cours INV;ECP-atelier réception traitement;Elimination de trou ancienne gaine au niveau porte entér quai;GCULZ100;Reception traitement;;GCULZ1;Zone 1;Mec;25/02/2019;25/02/2019;;correctif planifié
OT235967;clôturé;trait;changement joint;PFP200;Divers Process 2;24/02/2019 12:28;PFP2;Etage (Process 2);;24/02/2019;24/02/2019;;correctif planifié
OT235968;clôturé;élec;Réglage distributeur du tête scellage n°3 suite défaut monté;PFC104;Serac A (DmxR12T12/540 série M06-OF64);24/02/2019 15:58;PFC1;conditionnement 1;Mec;24/02/2019;25/02/2019;;correctif planifié
OT235969;clôturé;élec*;changement distribiteur doseur N°7 suite defaut;PFC104;Serac A (DmxR12T12/540 série M06-OF64);24/02/2019 12:28;PFC1;conditionnement 1;Mec;24/02/2019;24/02/2019;;correctif planifié
OT235970;clôturé;méc;Réglage guide suite défaut gaulotte;PFC104;Serac A (DmxR12T12/540 série M06-OF64);24/02/2019 10:02;PFC1;conditionnement 1;Mec;24/02/2019;24/02/2019;;correctif planifié
OT235971;clôturé;élec;Réglage capteur suite défaut poste arôme ligne B (pendant éssai à vide);PFC101;ERCA 1 (EF320L série 39306);06/03/2019 08:52;PFC1;conditionnement 1;Mec;24/02/2019;24/02/2019;;correctif planifié
OT235972;clôturé;méc*;changement kit-joint DA3 du vanne TM 8;PFM10101;Vanne DA3;23/02/2019 12:29;PFM101;Manifold;;23/02/2019;23/02/2019;;correctif planifié
OT235973;clôturé;élec*;changement distribiteur suite defaut fonctionnement doseur principale;PFC103;ERCA 3 (EF320L série 37212);24/02/2019 12:30;PFC1;conditionnement 1;Mec;24/02/2019;25/02/2019;;correctif planifié
OT235974;clôturé;méc*;changement joint amortisseur;PFP2030200;Amortisseur de pulsation;23/02/2019 12:31;PFP20302;Homo stork;;23/02/2019;23/02/2019;;correctif planifié
OT235975;clôturé;élec*;changement limiteur de debit suite defaut;PFC108;Posimat B;23/02/2019 12:31;PFC1;conditionnement 1;Mec;23/02/2019;23/02/2019;;correctif planifié
OT235976;clôturé;méc*;changement stator et rotor;PFM10203;Pompe PCM ERCA3 (25H6);23/02/2019 12:32;PFM102;Pompes PCM;Mec;23/02/2019;23/02/2019;;correctif planifié
OT235977;clôturé;prod;mise 12 membrane de sortie reserve pour la production;PFC103;ERCA 3 (EF320L série 37212);23/02/2019 12:33;PFC1;conditionnement 1;Mec;23/02/2019;23/02/2019;;correctif planifié
OT235978;clôturé;élec;changement raccord pneumatique et flexible de commande suite defaut vanne N2S1XVB01;PFP20507;Vanne;06/03/2019 08:44;PFP205;NEP2;;24/02/2019;24/02/2019;;correctif planifié
OT235991;en cours INV;MECANIQUE;réparation fuite huile de lubrification;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;23/02/2019;23/02/2019;;correctif planifié
OT235993;clôturé;méc*;chahgement 2 courroie;PFG405;CTA suremballage 2 (AXM125);23/02/2019 12:34;PFG4;Atelier CTA 2;Mec;23/02/2019;23/02/2019;;correctif planifié
OT235995;clôturé;ELECTRIQUE;changement batterie;ULPRPH0602;CHARIOT PORTE BOBINE ELECTRIQUE;14/02/2019 08:33;ULPRPH06;DIVERS UHT;Elec;14/02/2019;14/02/2019;;correctif planifié
OT235996;clôturé;méc*;changement filtre G4 et filtre F9;PFG307;CTA Maturation (CCH20);23/02/2019 12:35;PFG3;Atelier CTA 1;Mec;23/02/2019;23/02/2019;;correctif planifié
OT235999;en cours INV;MECANIQUE;réparation cadre trieur;ULPRPH06;DIVERS UHT;;ULPRPH;LIGNE UHT;Mec;22/02/2019;22/02/2019;;correctif planifié
OT236000;clôturé;méc*;changement courroie;PFG308;CTA Traitement 1 (CCH50);23/02/2019 12:36;PFG3;Atelier CTA 1;Mec;23/02/2019;23/02/2019;;correctif planifié
OT236001;en cours INV;MECANIQUE;réparation transpalette TC15;ULPRDV0104;TRANSPALETTE TC15- Hoers service;;ULPRDV01;TRANSPALETTE;Mec;22/02/2019;22/02/2019;;correctif planifié
OT236002;clôturé;MECANIQUE;réparation fuite hydraulique au niveau chariot C1;ULPRPH0603;CHARIOT PORTE BOBINE MANUEL;21/02/2019 08:34;ULPRPH06;DIVERS UHT;Mec;21/02/2019;21/02/2019;;correctif planifié
OT236003;en cours INV;MECANIQUE;changement circlips tête scellage suite mauvais état;ULPRPS0204;REMPLISSEUSE-CAPSULEUSE;;ULPRPS02;BOUTEILLE;;21/02/2019;25/02/2019;;correctif planifié
OT236004;en cours INV;MECANIQUE;Problème chauffage corne===>changement les rondelles du dispositif de pression coté droite;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;23/02/2019;25/02/2019;;correctif non planifié
OT236010;en cours INV;MECANIQUE;réparation table;ULPRPH0109;TABLE ELEVATRICE;;ULPRPH01;UHT A;Mec;25/02/2019;26/02/2019;;correctif planifié
OT236011;clôturé;MECANIQUE;réparation chariot===>changement pompe;ULPRPH0602;CHARIOT PORTE BOBINE ELECTRIQUE;25/02/2019 08:35;ULPRPH06;DIVERS UHT;Elec;25/02/2019;26/02/2019;;correctif planifié
OT236034;en cours INV;ELECTRIQUE;Bourrage convoyeur suite frein non fonctionnel===>changement bobine electrovanne frein;ULPRPH0108;CONVOYEUR;;ULPRPH01;UHT A;Mec;25/02/2019;25/02/2019;;correctif non planifié
OT236035;en cours INV;MECANIQUE;changement joint sup capsuleuse;ULPRPS0204;REMPLISSEUSE-CAPSULEUSE;;ULPRPS02;BOUTEILLE;;23/02/2019;23/02/2019;;correctif planifié
OT236036;clôturé;élec;changement cable IFM et connecteur fiche vampire  suite defaut vanne N2S1XVB01;PFP20507;Vanne;25/02/2019 19:15;PFP205;NEP2;;25/02/2019;25/02/2019;;correctif planifié
OT236037;clôturé;prod;changement lame ;PFC109;Sleever B (10000853-417);10/03/2019 11:10;PFC1;conditionnement 1;Mec;25/02/2019;25/02/2019;;correctif planifié
OT236038;clôturé;élec*;mise en place lampe secour au niveau chambre chaude;PFD002;Divers électrique UPF;25/02/2019 12:36;PFD0;Divers;;25/02/2019;25/02/2019;;correctif planifié
OT236039;clôturé;méc*;à pointe huile TEVELLA;PFS102;Mimasa 2 (L-300 série 643);25/02/2019 12:37;PFS1;Suremballage;Mec;25/02/2019;25/02/2019;;correctif planifié
OT236063;clôturé;méc*;révision rrouleau déroulement opercule;PFC102;ERCA 2 (EF320L série 34407);25/02/2019 12:39;PFC1;conditionnement 1;Mec;25/02/2019;25/02/2019;;correctif planifié
OT236065;clôturé;Eté;Luminaire au dessus vidéo jet Galdi ne fonctionne pas;;;;;;;;;;
OT236070;clôturé;élec*;fixation molure  côter ERCA 2;PFC102;ERCA 2 (EF320L série 34407);26/02/2019 12:40;PFC1;conditionnement 1;Mec;26/02/2019;26/02/2019;;correctif planifié
OT236139;en cours INV;ENERGETIQUE;CHANGEMENT FILTRES;ULUTTE010502;osmoseurs d'eaux n2;;ULUTTE0105;OSMOSEURS EAUX;Mec;22/02/2019;22/02/2019;;correctif planifié
OT236140;en cours INV;ELECTRIQUE;Défaut capteur de niveau;ULPRPH0502;NEP TETRA LIGNE 02;;ULPRPH05;NEP TETRA;Mec;19/02/2019;19/02/2019;;correctif planifié
OT236186;en cours INV;ELECTRIQUE;CHANGEMENT BATTERIE AUTOMATE;ULPRPF0201;ELOPAK;;ULPRPF02;LBEN RAIB;Mec;22/02/2019;22/02/2019;;correctif planifié
OT236253;clôturé;Visite technicien INTECMA;Visite technicien INTECMA  pour changer la presse decoupe;PFC205;ERCA Pate Fraiche (MF7 série 29413);26/02/2019 12:41;PFC2;Conditionnement 2;;26/02/2019;26/02/2019;;correctif non planifié
OT236285;en cours INV;ELECTRIQUE;réparation fermeture porte armoire electrique;ULPRPH010103;ARMOIRE ELECTRIQUE;;ULPRPH0101;STEREDIAL;Elec;26/02/2019;26/02/2019;;correctif planifié
OT236331;en cours INV;MECANIQUE;Bourrage brique===>changement taquet suite mauvais état;ULPRPH0307;HELIX;;ULPRPH03;UHT C;Mec;25/02/2019;25/02/2019;;correctif non planifié
OT236332;clôturé;méc;reparation fuite produit;PFP10301;Homo G90;26/02/2019 14:00;PFP103;Pasto 3 (Pasto Mix);;26/02/2019;26/02/2019;;correctif non planifié
OT236333;en cours INV;MECANIQUE;révision vanne suite fuite du lait;ULPRPH0301;STEREDIAL;;ULPRPH03;UHT C;Mec;21/02/2019;21/02/2019;;correctif planifié
OT236334;en cours INV;MECANIQUE;déchirure plastique TRT;ULPRPS0207;FARDELEUSE;;ULPRPS02;BOUTEILLE;;26/02/2019;26/02/2019;;correctif non planifié
OT236335;en cours INV;MECANIQUE;déchirure plastique TRT;ULPRPS0207;FARDELEUSE;;ULPRPS02;BOUTEILLE;;26/02/2019;26/02/2019;;correctif non planifié
OT236336;en cours INV;MECANIQUE;Fuite du lait au niveau vanne V6;ULPRSR010101;VANNES;;ULPRSR0101;STERELISATEUR;Mec;26/02/2019;26/02/2019;;correctif planifié
OT236337;clôturé;élec;"changement capteur de pression suite defaut pression entrée produit refroidissement ""YAB"" H401PT01";PFP20203;Echangeur à plaque (refroidisseur);26/02/2019 11:43;PFP202;Pasto 6 (boisson lactée);;26/02/2019;26/02/2019;;correctif planifié
OT236338;en cours INV;MECANIQUE;Sortir des roues;ULPRPH0108;CONVOYEUR;;ULPRPH01;UHT A;Mec;18/02/2019;18/02/2019;;correctif planifié
OT236339;en cours INV;MECANIQUE;retour titre de près à délice pour les articles de la roue UFP;ULPRPH0305;A3/FLEX;;ULPRPH03;UHT C;Mec;19/02/2019;19/02/2019;;correctif planifié
OT236340;clôturé;méc;"changement garniture suite fuite au niveau pompe retour NEP ligne 2 ""M100XME27""";PFM104;Pompe centrifuge (Booster);26/02/2019 11:25;PFM1;Maturation;;26/02/2019;26/02/2019;;correctif non planifié
OT236341;clôturé;méc;changement garniture suite fuite créme au niveau circuit refroidissement mélangeur;PFP20405;Mélangeur;26/02/2019 13:45;PFP204;Pasto 5 (Pate fraîche);;26/02/2019;27/02/2019;;correctif non planifié
OT236342;clôturé;méc*;changement membrane doseur n°3 suite fuite produit;PFC206;Galdi RG250;26/02/2019 12:42;PFC2;Conditionnement 2;;26/02/2019;26/02/2019;;correctif planifié
OT236343;en cours INV;Eté;Porte monté rapide du local chargement baterie ne se ferme pas;;;;;;;;;;
OT236345;en cours INV;Eté;Défaut température insuffésant (-40 au lieu de -50) du congélateur ferment n°6;;;;;;;;;;
OT236346;clôturé;Etm;Merci d'éliminer les conduite PVC des ancien évaporateur de la chambre froide 1;;;;;;;;;;
OT236347;clôturé;méc;reparation convoyeur d'entrée cassée;PFC104;Serac A (DmxR12T12/540 série M06-OF64);27/02/2019 07:55;PFC1;conditionnement 1;Mec;27/02/2019;27/02/2019;;correctif non planifié
OT236348;clôturé;Etm;Fuite RIA de la salle préparation commande (sas) Chambre froide PF;;;;;;;;;;
OT236391;en cours INV;MECANIQUE;réparation barre de soudure suite problème déchirure plastique TRT;ULPRPS0207;FARDELEUSE;;ULPRPS02;BOUTEILLE;;27/02/2019;27/02/2019;;correctif planifié
OT236392;en cours INV;MECANIQUE;changement les supports URA;ULPRPH040504;UNITE RACCORDEMENT PAPIER;;ULPRPH0405;A3/FLEX;Mec;27/02/2019;27/02/2019;;correctif planifié
OT236526;en cours INV;ELECTRIQUE;CHANGEMENT LOGO;ULPRPS0101;EXTRUDEUSE;;ULPRPS01;FABRICATION BOUTEILLE;;25/02/2019;25/02/2019;;correctif non planifié
OT236528;en cours INV;mecanique;REVISION VANNES;ULPRPF0201;ELOPAK;;ULPRPF02;LBEN RAIB;Mec;22/02/2019;22/02/2019;;correctif planifié
OT236551;en cours INV;ELECTRIQUE;changement bouton arrêt d'urgence suite mauvais état;ULPRPH0108;CONVOYEUR;;ULPRPH01;UHT A;Mec;27/02/2019;27/02/2019;;correctif planifié
OT236554;clôturé;méc;"révision vanne sudmo suite fuite produit au niveau vanne soutirage CD5 vers doseur2 ""S755XVB02""";PFP2030301;Vanne Sudmo (model 2014);27/02/2019 22:10;PFP20303;Manifold Dessert;;27/02/2019;27/02/2019;;correctif planifié
OT236557;clôturé;élec(mise à la terre bobine);mise en place d'un tube carrée inox avec chaine pour l'annulation du champ magnétique au niveau bobine plastique;PFC101;ERCA 1 (EF320L série 39306);15/02/2019 12:44;PFC1;conditionnement 1;Mec;15/02/2019;15/02/2019;;correctif planifié
OT236558;en cours INV;méc*(problème MSE75);changement courroie suite defaut;PFP10401;Ecrémeuse MSE 75;28/02/2019 12:45;PFP104;Pasto 8 (Pasto lait 2);;28/02/2019;28/02/2019;;correctif planifié
OT236560;clôturé;prod;changement filtre formage;PFC201;ERCA dessert 1 (MF14 série 29313);27/02/2019 12:45;PFC2;Conditionnement 2;;27/02/2019;27/02/2019;;correctif planifié
OT236570;clôturé;élec*;changement 2 contacteur 150A;PFG206;Groupe trane RTAD 180n°2;28/02/2019 12:50;PFG2;Atelier Chambre froid;Mec;28/02/2019;28/02/2019;;correctif planifié
